raw_prob,calibrated_prob
6.282974140958686e-11,0.0
4.477469006669566e-07,0.0
4.477484777387631e-07,0.000777000777000777
6.465506605657367e-07,0.000777000777000777
6.4656971443533e-07,0.0008067769261799112
1.3314385391982595e-06,0.0008067769261799112
1.3315350124720735e-06,0.0009832841691248771
2.316406891189615e-06,0.0009832841691248771
2.316881971164974e-06,0.0012630249447426586
4.907401219833574e-06,0.0012630249447426586
4.909416434939473e-06,0.0012970168612191958
5.995144073733805e-06,0.0012970168612191958
5.996011863573791e-06,0.0018915510718789407
8.868291358599123e-06,0.0018915510718789407
8.87308736807757e-06,0.0026485054861899358
1.6153953588227132e-05,0.0026485054861899358
1.616321891828587e-05,0.003795066413662239
1.797489978438982e-05,0.003795066413662239
1.797574579776029e-05,0.004066615027110767
5.245259485675557e-05,0.004066615027110767
5.24646943508289e-05,0.004783054321831227
9.323149256779129e-05,0.004783054321831227
9.325762264700276e-05,0.007696007696007695
0.000133948383661,0.007696007696007695
0.0001339577925477,0.007834034527781808
0.0004546514993012,0.007834034527781808
0.0004547081731223,0.012386850881372083
0.0006279190299396,0.012386850881372083
0.000627968311476,0.0133852140077821
0.0017286493600164,0.0133852140077821
0.001728760890764,0.017241379310344827
0.0018541053629657,0.017241379310344827
0.0018542222134293,0.017948717948717947
0.0025374444952761,0.017948717948717947
0.0025374720744956,0.02285888448643706
0.0040349839583551,0.02285888448643706
0.0040351257443214,0.026101141924959218
0.0088229887469641,0.026101141924959218
0.0088235090603541,0.03377110694183865
0.0093940592615945,0.03377110694183865
0.0093942447327052,0.03484320557491289
0.0097530297978756,0.03484320557491289
0.0097538088402004,0.036013813517513565
0.0126126159513498,0.036013813517513565
0.0126127090756722,0.038893159108378164
0.0258389754173451,0.038893159108378164
0.0258398547986742,0.05214723926380368
0.0267360519004529,0.05214723926380368
0.0267377632467205,0.053314121037463975
0.0336078310461066,0.053314121037463975
0.0336080420420852,0.05722460658082976
0.0361369044803258,0.05722460658082976
0.0361374458353647,0.06101382488479263
0.06026362746873,0.06101382488479263
0.0602747649009285,0.06542056074766354
0.0607089466535554,0.06542056074766354
0.0607160040461517,0.06857727737973388
0.066105606839169,0.06857727737973388
0.0661173450016817,0.08221892025755324
0.0796921000959068,0.08221892025755324
0.0796940954754584,0.08657587548638132
0.0868833998644891,0.08657587548638132
0.0869041192982845,0.09059111577474642
0.1102594001506243,0.09059111577474642
0.1102606694297094,0.09775967413441955
0.1227675780877617,0.09775967413441955
0.1227701843760716,0.102890739833415
0.1414904543730435,0.102890739833415
0.1414952832452636,0.11764705882352941
0.1418612213834744,0.11764705882352941
0.1418762531375875,0.12332439678284184
0.1499958048684737,0.12332439678284184
0.1499995010556511,0.125
0.1743536011786443,0.125
0.1743602376707763,0.1613958560523446
0.1863890617112984,0.1613958560523446
0.1864120966503539,0.16475972540045766
0.2123443215561651,0.16475972540045766
0.2123561784216232,0.17123857024106404
0.2314609192937935,0.17123857024106404
0.2314624369558862,0.17142857142857143
0.2320245905916258,0.17142857142857143
0.2320267850292801,0.19230769230769232
0.2406595050505626,0.19230769230769232
0.2406744331449566,0.1986754966887417
0.2434314995337936,0.1986754966887417
0.2434393008450294,0.2
0.2440505638379834,0.2
0.2440566768257717,0.21241830065359474
0.2501868297335411,0.21241830065359474
0.2501969362870386,0.2234782608695652
0.2744730398944354,0.2234782608695652
0.2744789289149758,0.2235294117647059
0.2765044054018367,0.2235294117647059
0.2765341157477371,0.24166666666666664
0.2792287610088364,0.24166666666666664
0.2792448255435582,0.24271844660194175
0.2981924010309011,0.24271844660194175
0.2982022476474589,0.2702702702702703
0.3031581700488353,0.2702702702702703
0.3031669775258914,0.2827476038338658
0.3180864661257765,0.2827476038338658
0.3181423276238193,0.2838235294117647
0.3371353877507071,0.2838235294117647
0.3372027138188921,0.2891566265060241
0.3553373941361082,0.2891566265060241
0.3553660387356598,0.29333333333333333
0.3574806304844719,0.29333333333333333
0.3574993532437185,0.3297045101088648
0.3773701966035232,0.3297045101088648
0.377375186910499,0.3333333333333333
0.3895154319431008,0.3333333333333333
0.3895754643127742,0.36
0.393341748368619,0.36
0.3934137623747736,0.3602584814216478
0.4412042167029546,0.3602584814216478
0.4412210556071216,0.39185750636132316
0.4569412467194699,0.39185750636132316
0.4569547636409032,0.4221732745961821
0.5199159128939347,0.4221732745961821
0.51992934059283,0.4418604651162791
0.5217976186714998,0.4418604651162791
0.5218786301043287,0.4444444444444444
0.5226353693467437,0.4444444444444444
0.5226913492250764,0.46473779385171793
0.5491823402582126,0.46473779385171793
0.5492094005288997,0.49537037037037035
0.5732686587056405,0.49537037037037035
0.573354685228964,0.5021645021645021
0.5855628178657483,0.5021645021645021
0.5857141745085209,0.5065123010130245
0.6272862684071211,0.5065123010130245
0.6273070459331235,0.5654101995565411
0.6847378276611815,0.5654101995565411
0.6847563952367557,0.5808823529411765
0.7022447908883864,0.5808823529411765
0.702260845804455,0.6176470588235294
0.7253276094739189,0.6176470588235294
0.7253832345985882,0.6282051282051282
0.7429997634445085,0.6282051282051282
0.7430557287176901,0.6296296296296297
0.7473661411905644,0.6296296296296297
0.747433492626805,0.6394557823129252
0.7809314522392088,0.6394557823129252
0.7810073660490242,0.6527777777777778
0.786428073039072,0.6527777777777778
0.7864834046494461,0.6666666666666666
0.7896216697947663,0.6666666666666666
0.7896353420984783,0.6842105263157895
0.8266354784776484,0.6842105263157895
0.8266484208062155,0.7045454545454546
0.8298617148769758,0.7045454545454546
0.8298934873642843,0.7243589743589742
0.8427156410612295,0.7243589743589742
0.8427162299167679,0.7272727272727273
