updated_at,game,kickoff_utc,market_ticker,player_name,player_id,threshold,yes_bid,yes_ask,no_bid,no_ask,projection,fair_yes,fair_no,yes_edge,no_edge,minutes_to_kickoff,entry_price,edge_required,size_units,market_qc_pass,model_available,action,max_contracts_at_1_unit
2026-09-24T15:25:01.104499+00:00,CIN@PIT,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-80,Ja'Marr Chase: 80+ receiving yards,00-0036900,80.0,0.46,0.48,0.52,0.54,67.35238704863403,0.2427184466019417,0.7572815533980584,-0.2372815533980583,0.21728155339805832,4412.511232566667,0.54,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-70,Jameson Williams: 70+ receiving yards,00-0037240,70.0,0.32,0.35,0.65,0.6799999999999999,43.062913752018645,0.102890739833415,0.897109260166585,-0.24710926016658497,0.21710926016658505,4412.511232566667,0.6799999999999999,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-70,Ladd McConkey: 70+ receiving yards,00-0039915,70.0,0.34,0.37,0.63,0.6599999999999999,45.27196342640875,0.1233243967828418,0.8766756032171582,-0.2466756032171582,0.21667560321715829,4412.511232566667,0.6599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBTKRAFT85-50,Tucker Kraft: 50+ receiving yards,00-0038996,50.0,0.44,0.45,0.55,0.56,34.52755216150009,0.2234782608695652,0.7765217391304348,-0.2265217391304348,0.2165217391304347,527.5112325666666,0.56,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,CIN@PIT,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27CINPIT-CINJCHASE1-90,Ja'Marr Chase: 90+ receiving yards,00-0036900,90.0,0.34,0.36,0.64,0.6599999999999999,67.35238704863403,0.125,0.875,-0.235,0.21500000000000008,4412.511232566667,0.6599999999999999,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-55,Ladd McConkey: 55+ receiving yards,00-0039915,55.0,0.5,0.51,0.49,0.5,45.27196342640875,0.2891566265060241,0.7108433734939759,-0.22084337349397593,0.21084337349397586,4412.511232566667,0.5,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,BAL@DAL,2026-09-27T20:25:00+00:00,KXNFLRECYDS-26SEP27BALDAL-DALGPICKENS3-80,George Pickens: 80+ receiving yards,00-0037247,80.0,0.3,0.33,0.6699999999999999,0.7,50.2109966436286,0.0905911157747464,0.9094088842252536,-0.2394088842252536,0.2094088842252536,4617.511232566667,0.7,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-90,Drake London: 90+ receiving yards,00-0037238,90.0,0.27,0.28,0.72,0.73,51.240547486682765,0.0610138248847926,0.9389861751152074,-0.21898617511520743,0.20898617511520745,527.5112325666666,0.73,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-ATLDLONDON5-50,Drake London: 50+ receiving yards,00-0037238,50.0,0.65,0.66,0.3399999999999999,0.35,51.240547486682765,0.4418604651162791,0.5581395348837209,-0.21813953488372095,0.20813953488372094,527.5112325666666,0.35,0.04,0.5,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,LAC@BUF,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27LACBUF-LACLMCCONKEY15-60,Ladd McConkey: 60+ receiving yards,00-0039915,60.0,0.43,0.46,0.54,0.5700000000000001,45.27196342640875,0.2234782608695652,0.7765217391304348,-0.2365217391304348,0.2065217391304347,4412.511232566667,0.5700000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBCWATSON9-90,Christian Watson: 90+ receiving yards,00-0038124,90.0,0.3,0.32,0.6799999999999999,0.7,62.8475438262419,0.0977596741344195,0.9022403258655805,-0.2222403258655805,0.2022403258655805,527.5112325666666,0.7,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-50,Jameson Williams: 50+ receiving yards,00-0037240,50.0,0.53,0.57,0.43,0.47,43.062913752018645,0.3333333333333333,0.6666666666666667,-0.23666666666666664,0.19666666666666677,4412.511232566667,0.47,0.02,1.0,True,True,BET_NOW_PAPER,2
2026-09-24T15:25:01.104499+00:00,MIN@TB,2026-09-27T20:05:00+00:00,KXNFLRECYDS-26SEP27MINTB-TBEEGBUKA2-60,Emeka Egbuka: 60+ receiving yards,00-0040129,60.0,0.36,0.39,0.61,0.64,42.21937880665199,0.171238570241064,0.828761429758936,-0.218761429758936,0.18876142975893595,4597.511232566667,0.64,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,ATL@GB,2026-09-25T00:15:00+00:00,KXNFLRECYDS-26SEP24ATLGB-GBMGOLDEN0-60,Matthew Golden: 60+ receiving yards,00-0040667,60.0,0.43,0.44,0.56,0.5700000000000001,46.30049393431656,0.2416666666666666,0.7583333333333334,-0.1983333333333334,0.18833333333333335,527.5112325666666,0.5700000000000001,0.02,1.0,True,True,BET_NOW_PAPER,1
2026-09-24T15:25:01.104499+00:00,NYJ@DET,2026-09-27T17:00:00+00:00,KXNFLRECYDS-26SEP27NYJDET-DETJWILLIAMS1-55,Jameson Williams: 55+ receiving yards,00-0037240,55.0,0.47,0.5,0.5,0.53,43.062913752018645,0.2827476038338658,0.7172523961661341,-0.21725239616613418,0.1872523961661341,4412.511232566667,0.53,0.02,1.0,True,True,BET_NOW_PAPER,1
