market_ticker,game_id,player_id,threshold,model_version,calibration_version,generated_at,fair_yes,fair_no,raw_fair_yes,projection,residual_sd,position,season_games_before,prior_carries,prior_carries_pg,prior_rush_yds_pg,context_flags,qc_status,qc_reason
KXNFLRSHYDS-26SEP20CARATL-CARBYOUNG9-25,2026_02_CAR_ATL,00-0039150,25.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1097112117780294,0.8902887882219706,0.25749467342836097,13.606516575584862,17.499131191796593,QB,1,54.0,3.375,13.5,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARBYOUNG9-20,2026_02_CAR_ATL,00-0039150,20.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.222509702457956,0.777490297542044,0.35742132971753,13.606516575584862,17.499131191796593,QB,1,54.0,3.375,13.5,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARBYOUNG9-15,2026_02_CAR_ATL,00-0039150,15.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.3585657370517928,0.6414342629482073,0.468265139809945,13.606516575584862,17.499131191796593,QB,1,54.0,3.375,13.5,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARBYOUNG9-10,2026_02_CAR_ATL,00-0039150,10.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.4804804804804805,0.5195195195195195,0.5816423872991255,13.606516575584862,17.499131191796593,QB,1,54.0,3.375,13.5,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-100,2026_02_SEA_ARI,00-0037263,100.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.019949281487743,0.980050718512257,0.0017532563732007963,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-120,2026_02_CAR_ATL,00-0036555,120.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0038745156855393,0.9961254843144607,1.6191532910324945e-06,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-90,2026_02_SEA_ARI,00-0037263,90.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0289297658862876,0.9710702341137124,0.009437473355734742,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-110,2026_02_CAR_ATL,00-0036555,110.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0080273270708795,0.9919726729291205,2.2167991790638565e-05,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-80,2026_02_SEA_ARI,00-0037263,80.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0450062508681761,0.9549937491318239,0.03782241694124555,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-100,2026_02_CAR_ATL,00-0036555,100.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0128061469505362,0.9871938530494638,0.00022222212985427897,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-70,2026_02_SEA_ARI,00-0037263,70.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0694607268464243,0.9305392731535757,0.11408664979851407,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-90,2026_02_CAR_ATL,00-0036555,90.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.019949281487743,0.980050718512257,0.0016372274838626093,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-60,2026_02_SEA_ARI,00-0037263,60.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1097112117780294,0.8902887882219706,0.2631641684558586,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-80,2026_02_CAR_ATL,00-0036555,80.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0289297658862876,0.9710702341137124,0.008911674357680753,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-50,2026_02_SEA_ARI,00-0037263,50.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.365079365079365,0.634920634920635,0.4752161804226782,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-70,2026_02_CAR_ATL,00-0036555,70.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0450062508681761,0.9549937491318239,0.036103502747532205,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-40,2026_02_SEA_ARI,00-0037263,40.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.5889175257731958,0.4110824742268042,0.6947266050151684,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-60,2026_02_CAR_ATL,00-0036555,60.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.0694607268464243,0.9305392731535757,0.11003278308049516,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20SEAARI-ARITALLGEIER22-30,2026_02_SEA_ARI,00-0037263,30.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.7077720207253886,0.2922279792746114,0.860095842952042,48.91218686498584,17.499131191796593,RB,1,143.0,8.411764705882353,30.235294117647058,LOW_THRESHOLD_10_30_CALIBRATION_CAUTION,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
KXNFLRSHYDS-26SEP20CARATL-CARCHUBBARD30-50,2026_02_CAR_ATL,00-0036555,50.0,NFL-RUSH-RIDGE-NORMALSD-ISO-v1,2024-25-WALKFORWARD-ISO-v1,2026-09-18T05:20:30.455049+00:00,0.1097112117780294,0.8902887882219706,0.2562670837602471,38.539874078762395,17.499131191796593,RB,1,134.0,8.933333333333334,34.06666666666667,,MODEL_AVAILABLE,INDEPENDENT_MODEL_RESEARCH_ONLY
