market_ticker,game_id,player_id,threshold
KXNFLRSHYDS-26SEP20INDKC-KCPMAHOMES15-15,2026_02_IND_KC,00-0033873,15
KXNFLRSHYDS-26SEP20INDKC-KCPMAHOMES15-10,2026_02_IND_KC,00-0033873,10
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-90,2026_02_IND_KC,00-0036223,90
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-80,2026_02_IND_KC,00-0036223,80
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-70,2026_02_IND_KC,00-0036223,70
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-60,2026_02_IND_KC,00-0036223,60
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-50,2026_02_IND_KC,00-0036223,50
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-180,2026_02_IND_KC,00-0036223,180
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-170,2026_02_IND_KC,00-0036223,170
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-160,2026_02_IND_KC,00-0036223,160
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-150,2026_02_IND_KC,00-0036223,150
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-140,2026_02_IND_KC,00-0036223,140
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-130,2026_02_IND_KC,00-0036223,130
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-120,2026_02_IND_KC,00-0036223,120
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-110,2026_02_IND_KC,00-0036223,110
KXNFLRSHYDS-26SEP20INDKC-INDJTAYLOR28-100,2026_02_IND_KC,00-0036223,100
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-40,2026_02_IND_KC,00-0035710,40
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-30,2026_02_IND_KC,00-0035710,30
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-25,2026_02_IND_KC,00-0035710,25
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-20,2026_02_IND_KC,00-0035710,20
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-15,2026_02_IND_KC,00-0035710,15
KXNFLRSHYDS-26SEP20INDKC-INDDJONES17-10,2026_02_IND_KC,00-0035710,10
